,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17600,789956235147974665,"Beautiful mansion, farmhouse",346499255.0,1.469686267487825e+18,Liat,Other Cities,Beverly Hills,34.061569173362166,-118.38999236921671,Entire home/apt,,30.0,0,,,1.0,365,0,
17800,793437131435213847,Cozy Queen Studio in with Private Patio - C6,1757749.0,1.4625776369050452e+18,Manouch,City of Los Angeles,Del Rey,34.00211,-118.41327,Entire home/apt,92.0,31.0,1,2025-06-02,0.08,15.0,145,0,
18000,830631915452567216,DTLA breathtaking Views with Assigned Parking,294798688.0,1.4695216969089782e+18,Cheng-Yin,City of Los Angeles,Downtown,34.04902,-118.24823,Entire home/apt,129.0,31.0,0,,,5.0,288,0,
18200,821097894532217999,Ideal Mix of Comfort and Value! Rooftop Pool,468914943.0,1.4701142821308321e+18,RoomPicks,Other Cities,West Hollywood,34.08424,-118.37788,Entire home/apt,496.0,1.0,0,,,49.0,334,0,Exempt
18400,842973671895872780,Botticelli Large Suite with large bathroom,475498312.0,1.4701437814191245e+18,Crystal,Other Cities,Santa Clarita,34.44052,-118.4113,Private room,102.0,1.0,211,2026-05-31,5.37,5.0,266,41,
18600,859503276762303664,"Relax and Unwind! Outdoor Pool, Pets Allowed!",501999514.0,1.470257160985456e+18,RoomPicks,City of Los Angeles,Chatsworth,34.24952,-118.60492,Private room,225.0,1.0,89,2026-06-07,2.44,76.0,364,66,Exempt - This listing is a hotel or motel
18800,864070111133705719,Steps to parks/shops | FWYS 5 min |Tranquil escape,205153511.0,1.469070155667568e+18,Patrick,Other Cities,Lakewood,33.8368326289163,-118.1110799368972,Entire home/apt,196.0,3.0,23,2026-05-24,0.62,1.0,66,16,
19000,885599472165069379,"Quiet area, private road, local",447465333.0,1.470015025012182e+18,Eyad,Other Cities,Lancaster,34.6539,-118.15747,Private room,,1.0,0,,,2.0,269,0,
19200,879502800088225926,Patio & Garage | 4B Lancaster Home E#41390,414420881.0,1.467924896318366e+18,Eric Lee,Other Cities,Lancaster,34.67088,-118.23725,Entire home/apt,222.0,14.0,2,2025-09-18,0.1,36.0,365,1,
19400,894343391784169799,Sunshine King in NoHo Art District at Hesby House,449090851.0,1.463728607625703e+18,Becki,City of Los Angeles,North Hollywood,34.16260822803412,-118.36670049748658,Private room,66.0,30.0,2,2023-12-17,0.06,18.0,360,0,
19600,906557841397843751,Cozy quiet master suite in LA,92176497.0,1.4671133452660838e+18,Michael,Other Cities,San Gabriel,34.0823277222744,-118.09799125616075,Private room,,394.0,0,,,2.0,365,0,
19800,904501353924175352,The Green Book Loft,517768932.0,1.4703294892540634e+18,Sarkis,City of Los Angeles,Valley Village,34.155695768007966,-118.3945369349182,Entire home/apt,200.0,30.0,5,2026-05-06,0.14,2.0,279,1,
20000,924891220413973115,Lovely home with patio near Universal & Hollywood,130173258.0,1.4683047689844099e+18,Joe,City of Los Angeles,North Hollywood,34.182944448464205,-118.39195782466275,Entire home/apt,581.0,2.0,43,2026-06-09,1.43,1.0,163,16,HSR25-000552
20200,932839316037291213,Cozy scenic Yurt 90 mins from la.,18268271.0,1.4626054964210688e+18,Kyle,Unincorporated Areas,Northeast Antelope Valley,34.61753,-117.75666,Entire home/apt,14.0,31.0,3,2025-10-20,0.09,1.0,269,1,
20400,938909207139387433,"Blueground | Playa Vista, pool & gym, nr beach",107434423.0,1.462889176402806e+18,Blueground,City of Los Angeles,Playa Vista,33.980471,-118.414713,Entire home/apt,,31.0,0,,,254.0,197,0,
20600,951425857447120236,Trending 3B3B BIG Townhouse in Walkable Alhambra,19236518.0,1.4630724726082877e+18,LAhome,Other Cities,Alhambra,34.088,-118.12085,Entire home/apt,283.0,1.0,85,2026-06-06,2.47,86.0,181,25,
20800,970345663529194124,Comfort room for 1 person,230809960.0,1.4632367690983652e+18,Liang,Other Cities,Azusa,34.1225,-117.91201,Private room,78.0,5.0,11,2024-10-31,0.33,2.0,70,0,
21000,976256199792332005,"75 steps to the sand sleeps 6, 2bd/2ba, AC & prkng",64464060.0,1.4667959952490153e+18,Suzanne,Other Cities,Long Beach,33.757761455640676,-118.13086766704438,Entire home/apt,530.0,3.0,54,2026-06-10,1.66,5.0,117,24,NRP22-00625
21200,984982533581083323,Extended Stay Guest House Near LAX/SoFi!,443004807.0,1.4699983130565194e+18,Tuko,Unincorporated Areas,Westmont,33.94881,-118.30063,Entire home/apt,85.0,5.0,13,2026-04-15,0.39,1.0,61,4,
21400,999933326934783800,Hollywood Hills 5BR Villa with Incredible Views,492073645.0,1.4702156467634168e+18,Chelsea And Chris,City of Los Angeles,Hollywood Hills,34.107250526308,-118.3353018834657,Entire home/apt,916.0,2.0,58,2026-06-07,1.81,1.0,151,20,HSR24-003085
21600,997875510705536433,Stylish & Peaceful Urban Retreat,459573832.0,1.4637541947820155e+18,Lucy,Other Cities,Downey,33.944986994987346,-118.1144417,Entire home/apt,180.0,2.0,34,2025-09-07,1.05,6.0,310,9,
21800,1009595737879932818,Sunset Oasis,337501809.0,1.4696552831068124e+18,Bailie,City of Los Angeles,Hollywood,34.0970663,-118.3187618,Entire home/apt,146.0,30.0,0,,,1.0,359,0,Exempt - This listing is a transient occupancy residential structure
22000,1022145164351550071,"Close to Metro! Easy, new, plus a garage.",104370562.0,1.467254576355241e+18,Gretchen,City of Los Angeles,Highland Park,34.0963524406191,-118.20831901828042,Entire home/apt,,30.0,17,2025-05-03,0.56,1.0,0,0,HSR23-003333
22200,1034106472807365337,Designer DTLA Loft Near Arts District,477689449.0,1.470152537018089e+18,Eva,City of Los Angeles,Downtown,34.0509671,-118.2448504,Entire home/apt,123.0,30.0,7,2025-12-17,0.4,1.0,202,4,
22400,1042867016305404109,Eclectic Loft; City Gem DTLA; Sleeps 5,544179016.0,1.4704371202774464e+18,Lux,Other Cities,West Hollywood,34.08999573329183,-118.36418437545444,Entire home/apt,285.0,1.0,0,,,5.0,21,0,Exempt
22600,1048312254774316787,Jackson's Boutique Canopy Studio,24641596.0,1.4653113396027953e+18,Fawaz,Other Cities,Culver City,34.01600087711878,-118.3967325842936,Entire home/apt,497.0,2.0,28,2026-05-31,0.94,16.0,324,15,
22800,1066263505549163827,Cozy Private Studio near DT/USC,202485995.0,1.469056583814216e+18,Demetrius,City of Los Angeles,Vermont Square,34.00283800683973,-118.29720989958844,Entire home/apt,156.0,2.0,47,2026-06-13,1.91,1.0,98,23,HSR25-001942
23000,1074056645282316105,共用卫生间的一个独立房间,511183607.0,1.4702986403695846e+18,Mike,Other Cities,Alhambra,34.06559097432616,-118.14252256831776,Private room,81.0,2.0,35,2026-05-24,1.22,7.0,259,14,
